postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3016,15558,40,115,257.1,5,5,22/10/2021,23/10/2021
3018,12685,25,100,197.1,1,4,22/10/2021,23/10/2021
3019,9199,65,266,706.6,5,6,22/10/2021,23/10/2021
3020,44784,357,1210,797.2,24,6,22/10/2021,23/10/2021
3021,54190,468,1599,863.6,40,6,22/10/2021,23/10/2021
3022,3102,18,139,580.3,1,6,22/10/2021,23/10/2021
3023,63974,547,1742,855,28,6,22/10/2021,23/10/2021
3024,23852,254,669,1064.9,6,7,22/10/2021,23/10/2021
3025,12155,76,736,625.3,10,6,22/10/2021,23/10/2021
3026,72,79,240,109722.2,7,7,22/10/2021,23/10/2021
3027,6650,27,194,406,1,5,22/10/2021,23/10/2021
3028,29198,160,562,548,15,6,22/10/2021,23/10/2021
3029,93946,949,3610,1010.2,69,7,22/10/2021,23/10/2021
3030,100311,574,1975,572.2,53,6,22/10/2021,23/10/2021
3031,18533,72,501,388.5,7,5,22/10/2021,23/10/2021
3032,29449,105,514,356.5,16,5,22/10/2021,23/10/2021
3033,14512,81,263,558.2,10,6,22/10/2021,23/10/2021
3034,11633,67,256,575.9,7,6,22/10/2021,23/10/2021
3036,5921,32,120,540.4,0,6,22/10/2021,23/10/2021
3037,51156,458,1571,895.3,19,6,22/10/2021,23/10/2021
3038,27258,187,558,686,5,6,22/10/2021,23/10/2021
3039,14252,44,225,308.7,4,5,22/10/2021,23/10/2021
3040,25939,69,400,266,9,5,22/10/2021,23/10/2021
3041,12412,38,174,306.2,6,5,22/10/2021,23/10/2021
3042,15762,80,250,507.5,2,6,22/10/2021,23/10/2021
3043,17715,80,389,451.6,5,5,22/10/2021,23/10/2021
3044,27116,152,581,560.6,16,6,22/10/2021,23/10/2021
3045,100,0,1,0,0,0,22/10/2021,23/10/2021
3046,34061,282,1721,827.9,11,6,22/10/2021,23/10/2021
3047,20901,330,1831,1578.9,28,7,22/10/2021,23/10/2021
3048,18025,244,1484,1353.7,9,7,22/10/2021,23/10/2021
3049,9266,70,334,755.5,7,6,22/10/2021,23/10/2021
3050,119,0,0,0,0,0,22/10/2021,23/10/2021
3051,14939,85,388,569,10,6,22/10/2021,23/10/2021
3052,5697,10,136,175.5,2,4,22/10/2021,23/10/2021
3053,18538,68,281,366.8,1,5,22/10/2021,23/10/2021
3054,8426,5,75,59.3,0,3,22/10/2021,23/10/2021
3055,14160,48,197,339,1,5,22/10/2021,23/10/2021
3056,24475,99,319,404.5,5,5,22/10/2021,23/10/2021
3057,11502,25,116,217.4,1,5,22/10/2021,23/10/2021
3058,33783,163,705,482.5,11,5,22/10/2021,23/10/2021
3059,15466,178,835,1150.9,6,7,22/10/2021,23/10/2021
3060,14040,134,771,954.4,10,6,22/10/2021,23/10/2021
